mass	count	cc	cc_std
1.1764	2646	0	0
2.25304	1001	0	0
3.11801	481	0.55302	0.260437
4.31504	487	0.540928	0.171619
5.97163	226	0.558468	0.178146
8.2642	146	0.549316	0.177703
11.4369	137	0.567011	0.127172
15.8276	79	0.548971	0.105576
21.904	59	0.578087	0.101142
30.3132	57	0.585832	0.0656567
41.9508	35	0.564546	0.0545201
58.0561	18	0.573469	0.0462228
80.3444	25	0.601984	0.0407331
111.189	10	0.591737	0.0430121
153.876	15	0.581086	0.0428724
212.951	28	0.584882	0.0247588
294.704	34	0.584805	0.0183797
407.844	35	0.586299	0.0190861
