mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	1155	0.421198	0.0945697
2.25304	411	0.148126	0.0724448
3.11801	204	0.0754297	0.0515495
4.31504	249	0.0448288	0.0272053
5.97163	128	0.0237721	0.0210806
8.2642	95	0.0174984	0.017872
11.4369	91	0.00836056	0.0099817
15.8276	67	0.00507421	0.00679802
21.904	69	0.00357875	0.00433214
30.3132	46	0.00168836	0.0029774
41.9508	33	0.000835338	0.00158861
58.0561	25	0.000490366	0.00096071
80.3444	25	0.000350867	0.000646465
111.189	16	0.000169165	0.00043937
153.876	16	0.00013073	0.000347443
212.951	18	0.000100967	0.000240397
294.704	36	0.000137348	0.000195101
407.844	50	0.000144782	0.000157796
