k/<k>	mean_density	std_density
0.050000	1.37596845e-01	3.05973059e-02
0.150000	3.32493700e-01	1.89188482e-01
0.250000	2.75121085e-01	2.69295606e-01
0.350000	4.93875477e-01	1.98642999e-01
0.450000	4.20028714e-01	2.38390320e-01
0.550000	5.36035150e-01	2.67762434e-01
0.650000	6.57020835e-01	2.52287061e-01
0.750000	7.17050533e-01	2.28829548e-01
0.850000	5.70976551e-01	1.35449104e-01
0.950000	8.83105918e-01	2.87322823e-01
1.050000	8.08070553e-01	3.02293854e-01
1.150000	7.50881791e-01	5.02411971e-01
1.250000	7.77962021e-01	4.15937477e-01
1.350000	7.31236475e-01	4.94836346e-01
1.450000	2.66640435e-01	7.45766360e-02
1.550000	6.00432815e-01	2.20751300e-01
1.650000	3.65499377e-01	1.73559683e-01
1.750000	1.37596845e-01	3.05973059e-02
1.850000	1.56546565e-01	1.61025201e-01
1.950000	1.27369008e-01	1.11606444e-01
2.050000	6.21516165e-02	8.32486218e-02
2.150000	1.28205128e-01	2.22057796e-01
2.250000	3.84615385e-02	6.66173388e-02
2.350000	2.56410256e-02	4.44115592e-02
