mass	count	degree	degree_std	apl	apl_std
1.1764	4819	0	0	0	0
2.25304	1709	1	0	1	0
3.11801	864	1.69992	0.119842	1.15004	0.0599199
4.31504	888	2.41549	0.227773	1.32507	0.0894796
5.97163	513	3.21406	0.446588	1.55723	0.168784
8.2642	293	3.64833	0.672877	1.78047	0.229423
11.4369	373	4.22334	0.72767	2.02026	0.252402
15.8276	212	5.27292	1.3344	2.28953	0.473184
21.904	200	6.04383	1.5414	2.62077	0.494846
30.3132	156	6.84446	1.68116	2.96542	0.590357
41.9508	90	7.81449	1.78852	3.40144	0.773888
58.0561	59	8.21481	2.46507	4.15856	1.14135
80.3444	39	9.21687	2.55151	4.81164	1.24649
111.189	27	10.9071	2.66759	4.89633	1.27569
153.876	12	10.8473	3.40902	6.57225	2.35429
212.951	7	11.5997	2.11098	6.83136	2.26295
294.704	1	17.6063	nan	5.22215	nan
