mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
5.97163	11	2.50496	0.634964	4.27273	0.616575	1	0	1.18182	0.385695	4.35909	0.487954	4.45455	0.78203	1.72727	0.962091	0.335705	0.169299	8.82588	2.86752
8.2642	10	3.38159	0.703437	5.61111	0.993808	1	0	2	1.05409	4.84788	0.496334	5.61111	0.657342	2.32593	0.396521	0.587944	0.26373	7.06765	2.53432
11.4369	15	5.14431	0.946635	8.53571	1.5637	1.32143	0.585758	1.89286	1.25611	5.10695	0.700437	6.64286	1.35526	2.15476	1.03599	0.943866	0.237008	5.70516	1.36319
15.8276	23	6.98208	1.61185	11.1905	1.89282	1.69841	0.860077	3.33333	2.0315	5.66782	1.2408	7.68519	1.29135	2.06905	0.73638	1.11973	0.318543	6.62481	1.89761
21.904	29	10.0821	2.28651	15.1304	2.36927	3.06522	2.25207	3.71739	1.95507	5.66503	0.782323	8.23877	1.64952	2.19609	0.794725	1.88789	0.60524	5.83443	1.61166
30.3132	30	14.4571	2.13714	22.2241	3.19371	4.39655	2.99246	3.94828	2.19067	6.13819	0.959298	9.08916	1.92584	2.08354	0.778259	2.55391	0.749966	6.23156	2.2129
41.9508	15	18.5869	4.72509	28.2	5.45527	6.93333	5.09204	5.66667	3.09121	6.19423	0.895788	9.2889	2.6097	2.09177	0.450696	3.59585	0.975348	5.60119	2.08136
58.0561	16	25.3323	6.67087	39.1667	8.9511	15.3	9.33774	5.33333	3.97772	6.89051	1.1489	11.2669	3.27813	2.0211	0.46009	6.259	1.21889	4.2082	1.27749
80.3444	8	32.7631	6.81685	53.5	8.88819	16.625	6.36273	8	2.34521	7.06345	1.4216	12.3028	2.75138	2.31156	0.337544	7.56997	0.899167	4.29237	0.448317
111.189	5	48.0403	8.93683	74	12.6649	31.4	13.1848	7.2	3.1241	7.61288	0.879683	12.1838	2.82056	2.24587	0.492391	11.3977	2.28545	4.41128	1.26251
153.876	9	61.3827	13.6524	93.2222	20.1592	50.1111	21.2155	9	4.10961	7.57654	1.19964	13.9432	2.99349	2.30534	0.284182	16.6166	2.21247	3.74203	0.844754
212.951	4	75.8547	19.3252	123.5	23.859	72.25	14.6181	8.75	3.11247	8.12966	1.38929	14.477	2.2593	2.24256	0.256	23.4291	1.60874	3.20178	0.678418
294.704	4	99.9731	8.78772	154.5	17.0953	114	21.7141	14	5.24404	8.35946	0.350498	16.548	2.78326	2.3572	0.519675	31.9374	3.13549	3.16506	0.470804
