mass	count	cc	cc_std
1.1764	2582	0	0
2.25304	927	0	0
3.11801	539	0.532269	0.258142
4.31504	573	0.659696	0.152115
5.97163	323	0.661757	0.162984
8.2642	204	0.677669	0.118352
11.4369	224	0.670842	0.0960149
15.8276	198	0.656113	0.0772953
21.904	149	0.648344	0.0720679
30.3132	132	0.66721	0.0470973
41.9508	108	0.646824	0.0394924
58.0561	89	0.639733	0.0353565
80.3444	49	0.645183	0.0259797
111.189	57	0.633037	0.0180438
153.876	26	0.634997	0.02095
212.951	14	0.633001	0.0190986
294.704	6	0.635249	0.00573634
