mass_center	num_clusters	mean_probability_density	std_probability_density
1.1764	4819	0.470453	0.0496906
2.25304	1709	0.165907	0.0341534
3.11801	864	0.0839267	0.0265905
4.31504	888	0.0431847	0.0135026
5.97163	513	0.0249639	0.0108225
8.2642	293	0.0142985	0.00731976
11.4369	373	0.00900244	0.00435084
15.8276	212	0.00413293	0.00259681
21.904	200	0.00277417	0.00204597
30.3132	156	0.00154949	0.00126274
41.9508	90	0.000619538	0.000606978
58.0561	59	0.0003061	0.000385711
80.3444	39	0.000147627	0.00022936
111.189	27	7.77613e-05	0.000155674
153.876	12	2.38695e-05	6.70238e-05
212.951	7	1.10202e-05	4.1554e-05
294.704	1	1.30535e-06	1.33758e-05
