k/<k>	mean_density	std_density
0.350000	6.31930484e-01	2.96078447e-01
0.550000	6.91705404e-01	5.47680848e-01
0.750000	6.21513573e-01	5.00029240e-01
0.950000	8.03721876e-01	5.97473820e-01
1.150000	9.39321765e-01	6.87329055e-01
1.350000	6.23262061e-01	3.84453291e-01
1.550000	5.82177313e-01	4.96694363e-01
0.150000	3.37992613e-01	2.85319676e-01
0.450000	6.32907065e-01	6.57309833e-01
0.650000	5.62824856e-01	5.96733520e-01
1.050000	6.79778561e-01	4.57667683e-01
1.250000	4.30627120e-01	4.38067742e-01
1.650000	6.83410950e-01	4.54847803e-01
0.050000	2.19298246e-02	7.27329998e-02
0.250000	3.26904021e-01	3.84379751e-01
0.850000	4.51287676e-01	5.44648032e-01
1.750000	1.13401608e-01	1.51088129e-01
1.850000	2.91563844e-01	2.87393708e-01
1.450000	2.89585887e-01	2.89613364e-01
1.950000	1.11313053e-01	1.50129548e-01
2.150000	3.94834634e-02	8.45890781e-02
2.250000	3.62318841e-02	1.20167565e-01
2.050000	9.71250971e-02	1.59792589e-01
