mass	count	degree	degree_std	apl	apl_std
1.1764	18535	0	0	0	0
2.25304	4647	1	0	1	0
3.11801	1865	1.68296	0.0795477	1.15852	0.0397732
4.31504	1482	2.32016	0.146711	1.36339	0.0665249
5.97163	622	3.02749	0.437115	1.62985	0.162388
8.2642	287	3.4813	0.671912	1.85222	0.245316
11.4369	224	4.098	0.893997	2.10689	0.383348
15.8276	100	4.5582	1.19016	2.53024	0.568174
21.904	70	5.41232	1.69674	2.90461	0.748985
30.3132	29	5.25394	1.47949	3.5618	0.742079
41.9508	12	6.1056	1.58314	4.2947	0.881534
58.0561	7	6.01881	1.3157	5.0257	0.884139
80.3444	1	5.82609	nan	7.66027	nan
