mass	count	L	L_std	numPerimeterPoints	numPerimeterPoints_std	numInsidePoints	numInsidePoints_std	numLeafPoints	numLeafPoints_std	avg_degree_perimeter	avg_degree_perimeter_std	avg_degree_inside	avg_degree_inside_std	avg_degree_leaf	avg_degree_leaf_std	area	area_std	perimeter_over_area	perimeter_over_area_std
4.31504	1	1.22775	0	3	0	1	0	1	0	4	0	4	0	4	0	0.0636424	0	19.2914	0
5.97163	22	2.66877	0.633369	4.45238	0.575383	1	0	1.28571	0.547101	4.39365	0.577017	4.85714	0.638877	1.87302	1.02985	0.372886	0.201224	9.17316	5.22678
8.2642	22	3.5853	0.496993	5.83333	0.776643	1.14286	0.349927	1.61905	0.722179	4.95261	0.593485	5.5	1.02353	1.92063	0.971307	0.515742	0.202639	8.33525	3.7043
11.4369	89	5.14479	0.975339	8.26667	1.15146	1.3303	0.536064	2.0303	0.86928	5.16782	0.764177	6.72121	1.07583	1.79904	0.688652	0.900843	0.276807	6.28889	1.63927
15.8276	91	6.90753	1.44508	11.3952	1.6226	2.17876	1.22802	2.3629	1.2509	6.02316	1.1059	8.28089	1.50989	2.0216	0.78799	1.30443	0.349452	5.70662	1.71929
21.904	114	9.7474	1.88324	15.8283	2.43781	3.00762	1.84684	3.125	1.53851	6.03331	1.24853	8.4017	2.09655	2.13011	0.813015	1.78381	0.481757	6.01912	2.04721
30.3132	111	12.6871	2.31868	20.4048	3.05564	5.68571	2.6875	3.36905	1.83807	6.68118	0.95281	10.2447	2.08778	2.11055	0.602069	2.69931	0.616088	4.99727	1.27239
41.9508	61	18.2395	3.58094	28.4062	4.81929	9.69792	4.14797	4.0625	1.94086	7.00841	1.18472	11.0553	2.50699	2.07813	0.750191	4.13581	0.842845	4.60587	1.30809
58.0561	34	26.0255	6.05349	40.2312	8.59614	13.5645	6.73788	4	2.73567	6.9206	1.3498	11.2558	2.89852	2.18888	0.701532	5.95562	0.710042	4.43918	1.13388
80.3444	24	34.0439	7.08265	51.75	9.54862	23.5455	9.8672	5.40909	2.46169	7.81842	1.53455	13.8449	3.63669	2.18419	0.483872	8.0686	1.26722	4.29296	0.969057
111.189	21	38.2116	8.65971	61.0556	11.6116	40.75	11.6598	5.91667	2.56715	8.35452	1.01623	15.0709	2.82174	2.24381	0.480898	11.7111	1.64756	3.31183	0.735356
153.876	9	52.4032	13.0088	82.3333	19.9388	58.8889	19.8687	9.11111	3.87139	8.03961	1.23839	15.6292	4.27412	2.40617	0.59419	16.8452	2.15949	3.16453	0.865758
212.951	2	61.6643	0.301581	94.5	0.5	106	20	6.5	0.5	8.76277	0.837234	18.0668	0.845884	2.22619	0.0595238	22.6932	2.1651	2.74354	0.275043
294.704	1	54.9125	0	92	0	154	0	8	0	9.43478	0	23.2727	0	2.5	0	26.2274	0	2.09371	0
